sol,latitude_crism,longitude_crism,elevation
40,-4.590129251,137.444008493,-4504.914
40,-4.590125335,137.444015367,-4504.913
40,-4.590121395,137.444022224,-4504.901
40,-4.59011746,137.444029076,-4504.878
40,-4.590113535,137.444035921,-4504.844
40,-4.590109615,137.444042769,-4504.811
40,-4.590105703,137.444049636,-4504.79
40,-4.590101822,137.444056523,-4504.774
40,-4.590097991,137.444063433,-4504.751
40,-4.59009417,137.444070348,-4504.726
40,-4.590090344,137.444077254,-4504.697
40,-4.590086503,137.444084155,-4504.67
40,-4.59008289,137.444090663,-4504.651
40,-4.590079143,137.44409741,-4504.634
40,-4.590075317,137.44410431,-4504.618
40,-4.590071492,137.444111229,-4504.601
40,-4.590067726,137.444118169,-4504.573
40,-4.590063947,137.444125102,-4504.545
40,-4.59006012,137.444132012,-4504.519
40,-4.590056311,137.444138937,-4504.498
40,-4.590052599,137.444145913,-4504.476
40,-4.59004896,137.444152935,-4504.464
40,-4.590036464,137.444177658,-4504.45
40,-4.590036464,137.444177658,-4504.45
40,-4.590036464,137.444177658,-4504.45
41,-4.590036464,137.444177658,-4504.45
41,-4.59003292,137.444185183,-4504.456
41,-4.590029412,137.444192724,-4504.462
41,-4.59002586,137.444200245,-4504.468
41,-4.590022309,137.444207766,-4504.475
41,-4.590018755,137.444215284,-4504.487
41,-4.590015179,137.44422279,-4504.503
41,-4.590011611,137.444230297,-4504.522
41,-4.590008038,137.444237801,-4504.542
41,-4.590004473,137.444245309,-4504.562
41,-4.59000091,137.444252813,-4504.588
41,-4.58999738,137.444260333,-4504.614
41,-4.589993861,137.444267864,-4504.631
41,-4.589990384,137.444275419,-4504.637
41,-4.589986946,137.444282993,-4504.634
41,-4.589983537,137.44429058,-4504.627
41,-4.589980049,137.444298131,-4504.625
41,-4.589976515,137.444305661,-4504.625
41,-4.589973006,137.444313203,-4504.627
41,-4.589969528,137.444320759,-4504.629
41,-4.589966301,137.444327873,-4504.627
41,-4.589962991,137.444335154,-4504.642
41,-4.589959601,137.444342729,-4504.652
41,-4.589956248,137.444350338,-4504.664
41,-4.589952725,137.444357872,-4504.668
41,-4.589949051,137.444365334,-4504.675
41,-4.589945382,137.444372797,-4504.684
41,-4.589941782,137.444380296,-4504.687
41,-4.589938282,137.444387842,-4504.689
41,-4.589934777,137.444395386,-4504.692
41,-4.589931237,137.444402912,-4504.699
41,-4.589927689,137.444410435,-4504.704
41,-4.589924127,137.444417952,-4504.709
41,-4.589920591,137.444425481,-4504.711
41,-4.589917127,137.444433044,-4504.709
41,-4.589913696,137.444440621,-4504.712
41,-4.589910275,137.444448203,-4504.714
41,-4.589906845,137.444455781,-4504.719
41,-4.589903418,137.444463359,-4504.726
41,-4.589900043,137.444470961,-4504.732
41,-4.589896522,137.444478496,-4504.734
41,-4.589893033,137.444485491,-4504.734
41,-4.58988937,137.444492711,-4504.74
41,-4.589885671,137.444500141,-4504.741
41,-4.589881985,137.444507597,-4504.745
41,-4.58987827,137.444515038,-4504.755
41,-4.589874581,137.444522488,-4504.772
41,-4.58987106,137.444530014,-4504.795
41,-4.589867541,137.444537545,-4504.812
41,-4.589864013,137.444545072,-4504.828
41,-4.589860495,137.444552605,-4504.842
41,-4.589846619,137.444580933,-4504.88
41,-4.589846619,137.444580933,-4504.88
41,-4.589846619,137.444580933,-4504.88
42,-4.589846619,137.444580933,-4504.88
42,-4.589847476,137.444589245,-4504.894
42,-4.589848314,137.444597557,-4504.912
42,-4.589849091,137.444605872,-4504.933
42,-4.589849842,137.44461419,-4504.954
42,-4.589850632,137.444622506,-4504.973
42,-4.589851389,137.444630825,-4504.993
42,-4.589852107,137.444639142,-4505.019
42,-4.589852858,137.444647455,-4505.047
42,-4.589853591,137.444655765,-4505.079
42,-4.589854294,137.444664075,-4505.113
42,-4.589854949,137.444672388,-4505.149
42,-4.589855746,137.444680684,-4505.187
42,-4.589856819,137.444688943,-4505.23
42,-4.589857747,137.444697221,-4505.271
42,-4.589858407,137.444705518,-4505.317
42,-4.589859211,137.444713806,-4505.361
42,-4.589860133,137.444722079,-4505.407
42,-4.589861002,137.444730356,-4505.454
42,-4.589861871,137.444738635,-4505.499
42,-4.589862735,137.444746409,-4505.54
42,-4.589863519,137.444754425,-4505.589
42,-4.589864499,137.444762666,-4505.639
42,-4.589865297,137.444770945,-4505.688
42,-4.58986599,137.444779222,-4505.744
42,-4.589866864,137.444787473,-4505.804
42,-4.589867764,137.444795735,-4505.858
42,-4.589868715,137.444804001,-4505.906
42,-4.589869534,137.444812283,-4505.952
42,-4.589870122,137.444820582,-4506.0
42,-4.58987067,137.444828881,-4506.05
42,-4.589871354,137.444837171,-4506.099
42,-4.589872266,137.444845438,-4506.149
42,-4.589872266,137.444845438,-4506.149
42,-4.589877561,137.444851863,-4506.194
42,-4.589882884,137.44485827,-4506.236
42,-4.589888207,137.444864694,-4506.268
42,-4.589893533,137.444871124,-4506.293
42,-4.589898893,137.44487753,-4506.312
42,-4.58990425,137.444883934,-4506.336
42,-4.589909607,137.444890336,-4506.363
42,-4.589914828,137.444896746,-4506.404
42,-4.589920131,137.444903168,-4506.433
42,-4.58992539,137.444909625,-4506.461
42,-4.58993067,137.444916096,-4506.484
42,-4.589935951,137.444922564,-4506.507
42,-4.589941214,137.444929043,-4506.534
42,-4.589946457,137.444935535,-4506.564
42,-4.589951752,137.444941975,-4506.6
42,-4.58995707,137.444948399,-4506.634
42,-4.589962357,137.444954852,-4506.666
42,-4.589967632,137.44496131,-4506.702
42,-4.589972897,137.444967768,-4506.741
42,-4.589978152,137.44497423,-4506.783
42,-4.589983381,137.444980722,-4506.821
42,-4.589988607,137.444987219,-4506.857
42,-4.589993989,137.444993597,-4506.886
42,-4.5899995,137.444999865,-4506.914
42,-4.590005029,137.445006116,-4506.942
42,-4.590010448,137.445012459,-4506.974
42,-4.59001576,137.445018894,-4507.004
42,-4.590020878,137.445024868,-4507.036
42,-4.590020878,137.445024868,-4507.036
42,-4.590041643,137.445050897,-4507.18
42,-4.590041643,137.445050897,-4507.18
42,-4.590041643,137.445050897,-4507.18
43,-4.590041643,137.445050897,-4507.18
43,-4.590048899,137.445055247,-4507.201
43,-4.590056185,137.445059551,-4507.22
43,-4.590063515,137.445063784,-4507.234
43,-4.590070866,137.445067982,-4507.248
43,-4.590078206,137.445072199,-4507.26
43,-4.590085518,137.44507646,-4507.276
43,-4.590092833,137.445080718,-4507.291
43,-4.590100139,137.445084992,-4507.307
43,-4.590107461,137.44508924,-4507.319
43,-4.590114786,137.445093481,-4507.333
43,-4.590122104,137.445097736,-4507.346
43,-4.590129454,137.445101935,-4507.359
43,-4.590136686,137.445106337,-4507.364
43,-4.590143889,137.445110785,-4507.374
43,-4.590151214,137.445115031,-4507.383
43,-4.590158524,137.445119302,-4507.391
43,-4.590165805,137.445123622,-4507.401
43,-4.590173063,137.445127981,-4507.409
43,-4.590180296,137.445132382,-4507.415
43,-4.590187093,137.445136512,-4507.42
43,-4.590193981,137.445140996,-4507.428
43,-4.590201231,137.445145331,-4507.439
43,-4.590208486,137.445149691,-4507.456
43,-4.590215736,137.445154059,-4507.47
43,-4.590223021,137.445158371,-4507.482
43,-4.590230313,137.445162673,-4507.491
43,-4.590237596,137.44516699,-4507.498
43,-4.590244876,137.445171316,-4507.501
43,-4.590252162,137.44517563,-4507.504
43,-4.590259431,137.44517997,-4507.513
43,-4.590266652,137.445184387,-4507.526
43,-4.590273862,137.445188823,-4507.537
43,-4.590281068,137.445193267,-4507.548
43,-4.590288267,137.445197724,-4507.555
43,-4.590295493,137.445202138,-4507.561
43,-4.59030275,137.4452065,-4507.567
43,-4.59031003,137.445210822,-4507.577
43,-4.590317338,137.445215094,-4507.589
43,-4.590324634,137.44521938,-4507.607
43,-4.590331912,137.445223694,-4507.628
43,-4.590338765,137.445227722,-4507.646
43,-4.590345614,137.445232166,-4507.663
43,-4.59035292,137.445236393,-4507.686
43,-4.590360235,137.445240636,-4507.712
43,-4.590367535,137.445244905,-4507.738
43,-4.590374825,137.445249192,-4507.764
43,-4.590382124,137.445253473,-4507.782
43,-4.590389402,137.445257796,-4507.795
43,-4.590396678,137.445262124,-4507.807
43,-4.590403957,137.445266445,-4507.819
43,-4.590411225,137.445270786,-4507.83
43,-4.590418499,137.445275118,-4507.839
43,-4.590425774,137.445279447,-4507.85
43,-4.590433037,137.445283798,-4507.857
43,-4.590440229,137.445288264,-4507.865
43,-4.590447294,137.445292929,-4507.873
43,-4.590454444,137.445297465,-4507.879
43,-4.590461709,137.44530181,-4507.893
43,-4.59047623,137.445310485,-4507.91
43,-4.59047623,137.445310485,-4507.91
43,-4.59047623,137.445310485,-4507.91
45,-4.590475803,137.445310786,-4507.906
45,-4.590475896,137.445310615,-4507.908
45,-4.590475875,137.445310568,-4507.91
45,-4.590475838,137.445310617,-4507.906
45,-4.590460344,137.445316783,-4507.93
45,-4.590443085,137.4453239,-4507.967
45,-4.590425192,137.445331066,-4508.013
45,-4.590424968,137.445331514,-4508.013
45,-4.590424755,137.445331681,-4508.006
45,-4.590424631,137.445331961,-4508.003
45,-4.590424388,137.445332251,-4508.007
45,-4.590424094,137.44533219,-4508.012
45,-4.590423986,137.445332128,-4508.019
45,-4.590433668,137.445345828,-4508.061
45,-4.590435065,137.445347685,-4508.06
45,-4.590435065,137.445347685,-4508.06
45,-4.590435065,137.445347685,-4508.06
48,-4.590425399,137.44533432,-4508.014
48,-4.590425178,137.445334198,-4508.012
48,-4.590424629,137.445334277,-4508.003
48,-4.590408519,137.445330472,-4508.012
48,-4.590407929,137.445330334,-4508.021
48,-4.590407682,137.445330589,-4508.029
48,-4.590407534,137.445331064,-4508.037
48,-4.59040718,137.445331838,-4508.031
48,-4.590407142,137.44533175,-4508.037
48,-4.590405857,137.445340196,-4508.078
48,-4.590404242,137.445348395,-4508.119
48,-4.590402925,137.44535683,-4508.164
48,-4.59040141,137.445364975,-4508.21
48,-4.590400029,137.445373401,-4508.254
48,-4.590398641,137.445382031,-4508.285
48,-4.590397285,137.445390474,-4508.319
48,-4.590395762,137.445398903,-4508.35
48,-4.590394404,137.445407348,-4508.381
48,-4.590392974,137.445415403,-4508.412
48,-4.590391573,137.445423842,-4508.443
48,-4.590389892,137.445432147,-4508.443
48,-4.590388536,137.445440604,-4508.459
48,-4.590387187,137.445449426,-4508.477
48,-4.590385924,137.445457901,-4508.488
48,-4.590384738,137.445465766,-4508.545
48,-4.590383516,137.445474231,-4508.578
48,-4.590382128,137.445482455,-4508.634
48,-4.590380773,137.44549086,-4508.692
48,-4.590379603,137.445498421,-4508.734
48,-4.590378261,137.445506813,-4508.8
48,-4.59037675,137.445515252,-4508.849
48,-4.59037539,137.44552368,-4508.893
48,-4.590373965,137.445532497,-4508.933
48,-4.590372496,137.445540924,-4508.964
48,-4.590371154,137.445549246,-4508.998
48,-4.590369783,137.445557677,-4509.04
48,-4.590368421,137.445566538,-4509.084
48,-4.590367179,137.445574997,-4509.118
48,-4.590365905,137.445583063,-4509.145
48,-4.590364478,137.445591494,-4509.179
48,-4.590362984,137.44560003,-4509.196
48,-4.590361911,137.445608528,-4509.212
48,-4.590360871,137.445616721,-4509.229
48,-4.590359586,137.445625189,-4509.245
48,-4.590357935,137.445633217,-4509.27
48,-4.590356601,137.445641674,-4509.293
48,-4.590355444,137.445649948,-4509.319
48,-4.590354333,137.445658438,-4509.341
48,-4.590353112,137.445666238,-4509.366
48,-4.590351616,137.445674667,-4509.389
48,-4.590350345,137.445682525,-4509.389
48,-4.590349249,137.445691021,-4509.403
48,-4.590348253,137.445699701,-4509.428
48,-4.590346872,137.445708157,-4509.439
48,-4.590345722,137.445715854,-4509.473
48,-4.590344295,137.445724285,-4509.507
48,-4.590343094,137.445732804,-4509.551
48,-4.590341944,137.445741272,-4509.589
48,-4.590340557,137.445749525,-4509.627
48,-4.590339202,137.445757963,-4509.665
48,-4.590337853,137.445766564,-4509.674
48,-4.590336461,137.445775013,-4509.695
48,-4.59033534,137.445783238,-4509.73
48,-4.59033398,137.445791685,-4509.759
48,-4.590332395,137.445799981,-4509.802
48,-4.590331075,137.445808425,-4509.841
48,-4.590329475,137.445816514,-4509.868
48,-4.590328055,137.445824946,-4509.902
48,-4.590326344,137.445833153,-4509.934
48,-4.59032512,137.445841625,-4509.96
48,-4.590323814,137.445849874,-4509.987
48,-4.590322601,137.445858343,-4510.017
48,-4.590321236,137.445866998,-4510.043
48,-4.590320065,137.445875478,-4510.068
48,-4.590319052,137.445882928,-4510.103
48,-4.590317771,137.445891385,-4510.134
48,-4.590316323,137.445900338,-4510.157
48,-4.590315016,137.445908802,-4510.176
48,-4.590313651,137.445916781,-4510.201
48,-4.590312458,137.445925259,-4510.225
48,-4.590311107,137.445933579,-4510.243
48,-4.590309894,137.445942056,-4510.263
48,-4.590308785,137.445949999,-4510.267
48,-4.59030754,137.445958475,-4510.281
48,-4.590306034,137.445967067,-4510.287
48,-4.5903047,137.445975532,-4510.296
48,-4.590303155,137.445983639,-4510.329
48,-4.590301838,137.445992098,-4510.352
48,-4.59030037,137.445999936,-4510.37
48,-4.59030037,137.445999936,-4510.37
48,-4.59030037,137.445999936,-4510.37
49,-4.59030037,137.445999936,-4510.37
49,-4.590300912,137.446032932,-4510.483
49,-4.590301398,137.446065868,-4510.646
49,-4.590301894,137.446098783,-4510.823
49,-4.590302044,137.446131795,-4510.921
49,-4.590302439,137.446164696,-4511.024
49,-4.590302434,137.446172958,-4511.063
49,-4.590303148,137.446205846,-4511.239
49,-4.59030397,137.446238754,-4511.415
49,-4.590304316,137.446271698,-4511.576
49,-4.590304045,137.446304652,-4511.714
49,-4.590303291,137.446337595,-4511.801
49,-4.590302972,137.446345777,-4511.824
49,-4.590302972,137.446345777,-4511.824
49,-4.590303401,137.446378782,-4511.928
49,-4.590303834,137.446411813,-4511.975
49,-4.590303316,137.44644486,-4512.001
49,-4.590302947,137.446477896,-4512.063
49,-4.590302947,137.446477896,-4512.063
49,-4.590305449,137.446506358,-4512.09
49,-4.590305449,137.446506358,-4512.09
49,-4.590305449,137.446506358,-4512.09
49,-4.590305449,137.446506358,-4512.09
50,-4.590305449,137.446506358,-4512.09
50,-4.590311261,137.446572663,-4512.259
50,-4.590307402,137.446622112,-4512.527
50,-4.59030533,137.446630056,-4512.554
50,-4.590298533,137.44666244,-4512.779
50,-4.59029227,137.44669487,-4513.042
50,-4.590285828,137.446727417,-4513.226
50,-4.590279976,137.446759955,-4513.474
50,-4.590274034,137.44679213,-4513.603
50,-4.590272524,137.446800198,-4513.629
50,-4.590266194,137.446832789,-4513.789
50,-4.590259421,137.446865271,-4513.971
50,-4.590252341,137.446897786,-4514.076
50,-4.590245216,137.446930255,-4514.219
50,-4.590237519,137.446962473,-4514.368
50,-4.590235561,137.446970066,-4514.384
50,-4.590235561,137.446970066,-4514.384
50,-4.590229463,137.447002654,-4514.575
50,-4.590223592,137.447035183,-4514.828
50,-4.59021742,137.447067832,-4514.98
50,-4.590211445,137.447100509,-4515.141
50,-4.590205078,137.447133035,-4515.228
50,-4.590203251,137.447140995,-4515.247
50,-4.590196375,137.447173559,-4515.33
50,-4.590190802,137.447206408,-4515.32
50,-4.590185355,137.447239245,-4515.418
50,-4.590179989,137.4472721,-4515.504
50,-4.590175747,137.447304472,-4515.61
